timestamp,time_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,status
2026-07-12 16:40:18,31582,125,-14,3756,-438,-197,-520,OK
2026-07-12 16:40:18,31721,120,-19,3765,-446,-196,100,OK
2026-07-12 16:40:19,31861,116,-7,3774,-437,-189,95,OK
2026-07-12 16:40:19,32000,123,2,3778,-445,-190,93,OK
2026-07-12 16:40:19,32183,123,-14,3781,-434,-193,90,OK
2026-07-12 16:40:19,32323,117,-6,3762,-438,-182,108,OK
2026-07-12 16:40:19,32462,125,-19,3774,-445,-190,99,OK
2026-07-12 16:40:19,32602,140,-21,3771,-432,-194,101,OK
2026-07-12 16:40:19,32741,121,-15,3764,-452,-195,99,OK
2026-07-12 16:40:20,32881,115,-12,3753,-442,-193,99,OK
2026-07-12 16:40:20,33021,126,-18,3778,-438,-187,104,OK
2026-07-12 16:40:20,33160,124,1,3762,-441,-188,95,OK
2026-07-12 16:40:20,33300,120,-17,3766,-448,-185,100,OK
2026-07-12 16:40:20,33483,120,-17,3762,-443,-185,102,OK
2026-07-12 16:40:20,33622,120,-11,3749,-448,-184,102,OK
2026-07-12 16:40:20,33762,118,-16,3749,-441,-181,104,OK
2026-07-12 16:40:21,33901,121,-7,3774,-449,-193,103,OK
2026-07-12 16:40:21,34041,122,-15,3764,-437,-190,106,OK
2026-07-12 16:40:21,34181,127,-22,3785,-449,-187,97,OK
2026-07-12 16:40:21,34320,125,-13,3763,-446,-184,99,OK
2026-07-12 16:40:21,34460,120,-11,3763,-446,-190,100,OK
2026-07-12 16:40:21,34599,130,-16,3766,-450,-196,98,OK
2026-07-12 16:40:21,34782,118,-24,3760,-451,-185,94,OK
2026-07-12 16:40:22,34922,132,-19,3768,-433,-193,95,OK
2026-07-12 16:40:22,35061,119,-6,3773,-447,-188,100,OK
2026-07-12 16:40:22,35201,131,-24,3776,-441,-192,98,OK
2026-07-12 16:40:22,35340,115,-9,3757,-445,-193,91,OK
2026-07-12 16:40:22,35480,121,-19,3764,-462,-196,98,OK
2026-07-12 16:40:22,35619,112,-10,3774,-454,-185,99,OK
2026-07-12 16:40:22,35759,137,-18,3772,-446,-192,106,OK
2026-07-12 16:40:23,35898,133,-21,3781,-446,-190,90,OK
2026-07-12 16:40:23,36081,134,-9,3779,-441,-193,96,OK
2026-07-12 16:40:23,36220,121,-5,3777,-439,-189,88,OK
2026-07-12 16:40:23,36360,133,-25,3769,-437,-189,106,OK
2026-07-12 16:40:23,36499,116,-5,3753,-446,-189,102,OK
2026-07-12 16:40:23,36639,128,-22,3769,-446,-191,93,OK
2026-07-12 16:40:23,36779,130,-27,3775,-455,-197,100,OK
2026-07-12 16:40:24,36918,136,-8,3783,-444,-185,99,OK
2026-07-12 16:40:24,37058,121,-10,3773,-447,-195,103,OK
2026-07-12 16:40:24,37197,109,-20,3760,-441,-189,101,OK
2026-07-12 16:40:24,37380,117,-25,3761,-456,-184,98,OK
2026-07-12 16:40:24,37520,122,-16,3762,-441,-199,95,OK
2026-07-12 16:40:24,37659,125,-21,3752,-450,-189,96,OK
2026-07-12 16:40:24,37799,121,-17,3753,-442,-191,106,OK
2026-07-12 16:40:25,37938,124,-10,3759,-449,-193,98,OK
2026-07-12 16:40:25,38078,128,-16,3766,-448,-190,110,OK
2026-07-12 16:40:25,38218,122,-21,3777,-437,-187,103,OK
2026-07-12 16:40:25,38357,126,-9,3775,-449,-186,101,OK
2026-07-12 16:40:25,38497,121,-14,3776,-435,-193,106,OK
2026-07-12 16:40:25,38679,121,-15,3762,-444,-183,98,OK
2026-07-12 16:40:25,38819,129,-15,3763,-455,-190,101,OK
2026-07-12 16:40:26,38959,121,-13,3775,-447,-197,102,OK
2026-07-12 16:40:26,39098,125,-14,3785,-443,-192,103,OK
2026-07-12 16:40:26,39238,131,-14,3764,-433,-186,100,OK
2026-07-12 16:40:26,39378,128,-21,3772,-444,-193,95,OK
2026-07-12 16:40:26,39517,111,-6,3765,-435,-191,91,OK
2026-07-12 16:40:26,39657,122,-24,3782,-442,-187,95,OK
2026-07-12 16:40:26,39796,109,-9,3764,-447,-188,96,OK
2026-07-12 16:40:27,39979,130,-17,3783,-451,-188,109,OK
2026-07-12 16:40:27,40118,139,-13,3768,-442,-181,94,OK
2026-07-12 16:40:27,40258,114,-17,3764,-442,-178,101,OK
2026-07-12 16:40:27,40398,112,-14,3769,-452,-194,99,OK
2026-07-12 16:40:27,40537,133,-16,3760,-445,-187,95,OK
2026-07-12 16:40:27,40677,112,-20,3770,-441,-181,96,OK
2026-07-12 16:40:27,40816,123,-16,3790,-443,-190,92,OK
2026-07-12 16:40:28,40956,127,-17,3759,-444,-196,94,OK
2026-07-12 16:40:28,41095,117,-19,3776,-444,-186,99,OK
2026-07-12 16:40:28,41235,133,-10,3771,-449,-192,98,OK
2026-07-12 16:40:28,41418,122,-13,3781,-452,-188,100,OK
2026-07-12 16:40:28,41557,116,-2,3781,-442,-187,108,OK
2026-07-12 16:40:28,41697,130,-21,3761,-443,-186,97,OK
2026-07-12 16:40:29,41836,116,-12,3784,-445,-195,94,OK
2026-07-12 16:40:29,41976,117,-19,3767,-436,-196,93,OK
2026-07-12 16:40:29,42115,117,-9,3768,-444,-181,105,OK
2026-07-12 16:40:29,42255,125,-12,3785,-432,-187,107,OK
2026-07-12 16:40:29,42394,127,-9,3766,-453,-189,98,OK
2026-07-12 16:40:29,42591,120,-14,3785,-445,-190,97,OK
2026-07-12 16:40:29,42774,121,-6,3771,-447,-194,105,OK
2026-07-12 16:40:30,42913,132,-9,3753,-453,-189,97,OK
2026-07-12 16:40:30,43053,120,-23,3765,-450,-190,96,OK
2026-07-12 16:40:30,43192,121,-9,3771,-447,-186,105,OK
2026-07-12 16:40:30,43332,107,-21,3762,-440,-181,101,OK
2026-07-12 16:40:30,43472,125,-8,3774,-438,-187,101,OK
2026-07-12 16:40:30,43611,128,-15,3767,-452,-180,103,OK
2026-07-12 16:40:30,43751,113,-18,3779,-452,-199,99,OK
2026-07-12 16:40:31,43890,129,-10,3781,-444,-187,99,OK
2026-07-12 16:40:31,44073,122,-18,3749,-441,-187,99,OK
2026-07-12 16:40:31,44269,121,-15,3770,-441,-186,97,OK
2026-07-12 16:40:31,44409,136,-13,3778,-452,-189,107,OK
2026-07-12 16:40:31,44548,126,-15,3753,-444,-187,106,OK
2026-07-12 16:40:31,44688,127,-23,3794,-443,-195,93,OK
2026-07-12 16:40:31,44827,115,-15,3761,-439,-193,97,OK
2026-07-12 16:40:32,44967,125,-18,3760,-435,-187,96,OK
2026-07-12 16:40:32,45106,128,-10,3754,-452,-192,104,OK
2026-07-12 16:40:32,45246,121,-16,3764,-453,-189,101,OK
2026-07-12 16:40:32,45428,115,-8,3777,-437,-189,96,OK
2026-07-12 16:40:32,45568,122,-18,3759,-440,-189,98,OK
2026-07-12 16:40:32,45708,114,-23,3765,-444,-193,100,OK
2026-07-12 16:40:33,45848,133,-24,3784,-434,-193,98,OK
2026-07-12 16:40:33,45987,123,-19,3763,-441,-188,106,OK
2026-07-12 16:40:33,46127,117,-21,3766,-448,-193,95,OK
2026-07-12 16:40:33,46267,123,-22,3764,-439,-189,96,OK
2026-07-12 16:40:33,46406,116,-3,3768,-446,-181,101,OK
2026-07-12 16:40:33,46546,130,-10,3754,-443,-179,96,OK
2026-07-12 16:40:33,46729,124,-2,3759,-440,-196,101,OK
2026-07-12 16:40:34,46869,117,-7,3779,-454,-191,109,OK
2026-07-12 16:40:34,47009,125,-22,3765,-448,-194,102,OK
2026-07-12 16:40:34,47148,122,-16,3769,-435,-194,93,OK
2026-07-12 16:40:34,47288,126,-14,3770,-446,-191,95,OK
2026-07-12 16:40:34,47428,117,-14,3779,-442,-190,95,OK
2026-07-12 16:40:34,47568,130,-14,3769,-447,-193,101,OK
2026-07-12 16:40:34,47707,130,-14,3774,-453,-189,90,OK
